Entity_Name,Entity_Type,County,Contact_1_Name,Contact_1_Title,Contact_1_Email,Contact_1_Phone,Contact_2_Name,Contact_2_Email,Bid_Portal,Bid_Portal_URL,Phase1_Called,Phase1_Dept,Phase1_Status,Phase1_Date,Phase1_Notes,Next_Action,Status,Date_Contacted,Disposition,Registration_Confirmed,Notes
Morris Hills Regional School District,School District,Morris,Not Found,Not Found,dmatovski@mhrd.org,973-326-7400,Nicholas Norcia,nnorcia@mhrd.org,,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to dmatovski@mhrd.org,Not Started,,,,
Morris Plains School District,School District,Morris,Not Found,Not Found,cjenisch@mpsdk8.org,973-326-7400,Mark Maire,mmaire@mpsdk8.org,,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to cjenisch@mpsdk8.org,Not Started,,,,Borough of Morris Plains. Small municipality. Purchasing info not published.
Morris School District,School District,Morris,Not Found,Not Found,anthony.lofranco@msdk12.net,973-326-7400,Anne Mucci,amucci@msdk12.net,Direct submission to purchasing@msdk12.net,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to anthony.lofranco@msdk12.net,Not Started,,,,Glenn Miller was 2016 NJ Educational Facilities Manager of the Year.
Mount Arlington Public School District,School District,Morris,,,rtedesco@mtarlingtonk8.org,973-398-4400 x103,Scott Pepper,spepper@mtarlingtonk8.org,,,NO,,,,,SEND EMAIL to rtedesco@mtarlingtonk8.org,Not Started,,,,Borough of Mount Arlington. Small municipality. Has DPW. Purchasing not published.
Mount Olive Township School District,School District,Morris,Jenna Murphy / Robyn Esposito,Qualified Purchasing Agent (QPA),nicole.schoening@motsd.org,973-691-4008 X8405,Sumit Bangia,sumit.bangia@motsd.org,Mount Olive Township Bids & RFPs (website),,NO,,,,,SEND EMAIL to nicole.schoening@motsd.org,Not Started,,,,Two QPAs listed. Robyn Esposito handles bids/RFPs. Jenna Murphy is also QPA.
Mountain Lakes Public School District,School District,Morris,,,sba@mlschools.org,973-334-8280,Brad Siegel,bsiegel@mlschools.org,,,NO,,,,,SEND EMAIL to sba@mlschools.org,Not Started,,,,
Netcong School District,School District,Morris,,,pstabile@netcongschool.org,973-347-0020 x503,Kathleen Walsh,kwalsh@netcongschool.org,,,NO,,,,,SEND EMAIL to pstabile@netcongschool.org,Not Started,,,,Small borough. DPW Superintendent is Tim Hess. Purchasing handled by Borough Clerk.
Parsippany-Troy Hills Township School District,School District,Morris,Joseph P. Plescia,Superintendent of Recreation,semchugh@pthsd.net,973-263-7257,Karen Chase,superintendent@pthsd.net,,https://www.parsippany.net/Departments/purchasing,YES,Facilities Management,Not Called,06/05/26,gatekeeper took our info and will have someone call us back,"CALL 973-263-7257 — Phase 1 gatekeeper took info, needs callback",Not Started,,,,"Mr. William Crane, Supervisor of Buildings and Grounds."
Pequannock Township School District,School District,Morris,,,gordon.gibbs@pequannock.org,973-616-6040 x1005,Michael Portas,michael.portas@pequannock.org,,,NO,,,,,SEND EMAIL to gordon.gibbs@pequannock.org,Not Started,,,,Township of Pequannock. Purchasing info not published on public website.
Randolph Township School District,School District,Morris,Elizabeth Crescibene,"RPPO, QPA Purchasing Agent",kbleeker@rtnj.org,973-361-0808  x8204,Jennifer Fano,jfano@rtnj.org,BidNet Direct (Morris County Cooperative),https://www.bidnetdirect.com/new-jersey,NO,,,,,SEND EMAIL to kbleeker@rtnj.org,Not Started,,,,Uses Morris County Bid System. Register at BidNet for all Morris County member towns.
Riverdale School District,School District,Morris,,,sbisig@rpsnj.org,973-839-1300 x102,Jayson Gutierrez,jgutierrez@rpsnj.org,,,NO,,,,,SEND EMAIL to sbisig@rpsnj.org,Not Started,,,,Borough of Riverdale. Small municipality. Purchasing not published.
Rockaway Borough School District,School District,Morris,,,gcusmano@rockboro.org,973-625-8601,Anthony Grieco,agrieco@rockboro.org,,,NO,,,,,SEND EMAIL to gcusmano@rockboro.org,Not Started,,,,Morris County shared services for facilities.
Rockaway Township School District,School District,Morris,,,mslamb@rocktwp.net,973-627-8200,Richard Corbett,rcorbett@rocktwp.net,,,NO,,,,,SEND EMAIL to mslamb@rocktwp.net,Not Started,,,,
Roxbury Township School District,School District,Morris,,Director of Public Works and Purchasing Agent,jmondanaro@roxbury.org,973-584-6099 x5002,Francis Santora,fsantora@roxbury.org,,,NO,,,,,SEND EMAIL to jmondanaro@roxbury.org,Not Started,,,,"DPW Director also serves as Purchasing Agent. Contact: Township Manager, 1715 Route 46."
School District of the Chathams,School District,Morris,,,pdaquila@chatham-nj.org,973-457-2520,Emily Sortino,esortino@chatham-nj.org,,,NO,,,,,SEND EMAIL to pdaquila@chatham-nj.org,Not Started,,,,
Washington Township School District,School District,Morris,,,KDeRiso@wtschools.org,908-876-4172 x 1024,Antonella Lind,alind@wtschools.org,,,NO,,,,,SEND EMAIL to KDeRiso@wtschools.org,Not Started,,,,
West Morris Regional High School District,School District,Morris,Not Found,Not Found,skrizko@wmrhsd.org,973-326-7400,Stephen Ryan,sryan@wmrhsd.org,,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to skrizko@wmrhsd.org,Not Started,,,,
Wharton Borough School District,School District,Morris,,,scammarata@wbps.org,973-361-2592,CONNIE SANCHEZ,csanchez@wbps.org,,,NO,,,,,SEND EMAIL to scammarata@wbps.org,Not Started,,,,Borough of Wharton. Small municipality. Purchasing info not published.
Parsippany,Municipality,Morris,Joseph P. Plescia,Superintendent of Recreation,STaylor@parsippany.net,973-263-7257,,,Parsippany website,https://www.parsippany.net/Departments/purchasing,YES,Municipality,no answer,06/05/26,no answer,SEND EMAIL to STaylor@parsippany.net,Not Started,,,,
Mount Olive,Municipality,Morris,Jenna Murphy / Robyn Esposito,Qualified Purchasing Agent,,973-691-0900 ext. 7271,,,Township Bids/RFPs,https://www.mountolivetwpnj.org,NO,,,,,CALL 973-691-0900 ext. 7271 — ask for Jenna Murphy / Robyn Esposito,Not Started,,,,Two QPAs listed. Robyn Esposito handles bids/RFPs. Jenna Murphy is also QPA.
Randolph,Municipality,Morris,Elizabeth Crescibene,RPPO/QPA Purchasing Agent,,,,,BidNet Direct (Morris County Coop),https://www.bidnetdirect.com/new-jersey,NO,,,,,CALL  — ask for Elizabeth Crescibene,Not Started,,,,Uses Morris County Bid System. Register at BidNet for all Morris County member towns.
Rockaway Township,Municipality,Morris,Bryan Coward,Qualified Purchasing Agent,bcoward@rockawaytownship.org,973-983-2868,,,,,NO,,,,,SEND EMAIL to bcoward@rockawaytownship.org,Not Started,,,,
Roxbury,Municipality,Morris,Valarie Wyble,CFO/Purchasing Agent (CMFO/QPA),wyblev@roxburynj.us,973-448-2005,,,,,NO,,,,,SEND EMAIL to wyblev@roxburynj.us,Not Started,,,,"DPW Director also serves as Purchasing Agent. Contact: Township Manager, 1715 Route 46."
Morris Township,Municipality,Morris,Not Found,Not Found,,973-326-7400,,,Morris Township website bid postings,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,CALL 973-326-7400 — Phase 1 found contact,Not Started,,,,QPA: Mark Demareski confirmed via Morris County Park Commission docs.
Montville,Municipality,Morris,June E. Hercek,Township Administrator/QPA,jhercek@montvillenj.org,973-331-3302,,,,,NO,,,,,SEND EMAIL to jhercek@montvillenj.org,Not Started,,,,
Jefferson,Municipality,Morris,Carol Fett,Asst. Purchasing Agent (QPA: Debra Millikin),cfett@jeffersontownship.net,973-208-3621,,,,,NO,,,,,SEND EMAIL to cfett@jeffersontownship.net,Not Started,,,,
Washington Township,Municipality,Morris,Kathleen Holzer,QPA Purchasing Agent,purchasing@wtmorris.net,908-876-3315 ext. 1233,,,,,NO,,,,,SEND EMAIL to purchasing@wtmorris.net,Not Started,,,,
Morristown,Municipality,Morris,Not Found,Not Found,j-barrick@townofmorristown.org,973-326-7400,,,Direct to Finance Dept,https://www.morristwp.com/Bids.aspx,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to j-barrick@townofmorristown.org,Not Started,,,,Town of Morristown. Finance department handles purchasing. No QPA published on public site.
Dover,Municipality,Morris,,,,,,,Purchasing info not published,,NO,,,,,RESEARCH — no contact data,Not Started,,,,Town of Dover. Call main line for vendor registration process.
Denville,Municipality,Morris,Melissa Unrath,Qualified Purchasing Agent (QPA),,973-625-8300 ext. 296,,,BidNet (Morris County Coop),https://www.bidnetdirect.com/new-jersey,NO,,,,,CALL 973-625-8300 ext. 296 — ask for Melissa Unrath,Not Started,,,,Uses Morris County Bid System. Register at BidNet for all Morris County member towns.
Madison,Municipality,Morris,Kevin O'Keefe,Qualified Purchasing Agent (QPA),okeefek@rosenet.org,973-593-3036,,,,,NO,,,,,SEND EMAIL to okeefek@rosenet.org,Not Started,,,,
Pequannock,Municipality,Morris,,,,,,,Purchasing info not published,,NO,,,,,RESEARCH — no contact data,Not Started,,,,Township of Pequannock. Call Borough Hall for process.
Hanover,Municipality,Morris,Kenneth Huelbig,Purchasing Agent,jgiorgio@hanovertownship.com,973-888-6000,,,Hanover Township Bid Postings,https://www.easthanovertownship.com/Notices/,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to jgiorgio@hanovertownship.com,Not Started,,,,
Florham Park,Municipality,Morris,Shelby Snow,Borough Administrator,ssnow@florhamparknj.gov,973-410-5312,,,,https://www.florhamparknj.gov/BidsRFPsQuotes,YES,Municipality,Left Voicemail,06/05/26,went to voicemail,"SEND EMAIL to ssnow@florhamparknj.gov — left voicemail Phase 1, follow up",Not Started,,,,
East Hanover,Municipality,Morris,Kenneth Huelbig,Purchasing Agent,kennyh@easthanovertownship.com,973-888-6000,,,,https://www.easthanovertownship.com/Notices/,YES,Municipality,Not Interested,06/05/26,hang up,SEND EMAIL to kennyh@easthanovertownship.com,Not Started,,,,
Lincoln Park,Municipality,Morris,Perry Mayers,Borough Administrator (QPA),pmayers@bolp.org,973-694-6100 ext. 2022,,,BidNet (Morris County Coop),https://www.bidnetdirect.com/new-jersey,NO,,,,,SEND EMAIL to pmayers@bolp.org,Not Started,,,,
Chatham Township,Municipality,Morris,Debra King,CFO/QPA,dking@chathamtownship.org,973-635-3200,,,,,NO,,,,,SEND EMAIL to dking@chathamtownship.org,Not Started,,,,
Kinnelon,Municipality,Morris,Jennifer Stillman,Acting CFO/Treasurer (QPA resigned June 2026),jstillman@kinnelonboro.org,973-838-5401 x203,,,,,NO,,,,,SEND EMAIL to jstillman@kinnelonboro.org,Not Started,,,,Borough of Kinnelon. Has DPW department. Purchasing info not published.
Chatham Borough,Municipality,Morris,Karen Fornaro,CFO (QPA),kfornaro@chathamborough.org,973-635-0674,,,,,NO,,,,,SEND EMAIL to kfornaro@chathamborough.org,Not Started,,,,
Long Hill,Municipality,Morris,Nancy Malool,QPA (part-time contract),municipalclerk@longhillnj.gov,908-647-8000,,,,,NO,,,,,SEND EMAIL to municipalclerk@longhillnj.gov,Not Started,,,,Has DPW department with pothole reporting. Purchasing not published separately.
Boonton,Municipality,Morris,,Finance/Clerk handles purchasing,dcabana@boontontownship.com,973-402-4012,,,,,NO,,,,,SEND EMAIL to dcabana@boontontownship.com,Not Started,,,,
Chester Township,Municipality,Morris,,Clerk handles purchasing,Clerk@ChesterBorough.org,908-879-3660 ext. 2129,,,,,NO,,,,,SEND EMAIL to Clerk@ChesterBorough.org,Not Started,,,,
Butler,Municipality,Morris,,Borough Clerk,clerk@butlerborough.com,973-838-7200,,,,,NO,,,,,SEND EMAIL to clerk@butlerborough.com,Not Started,,,,Borough of Butler. Small municipality. Purchasing info not published.
Wharton,Municipality,Morris,Giuliana Evangelista,Deputy Clerk,gevangelista@whartonnj.com,973-361-8444 x2713,,,,,NO,,,,,SEND EMAIL to gevangelista@whartonnj.com,Not Started,,,,Borough of Wharton. Small municipality. Purchasing info not published.
Rockaway,Municipality,Morris,Kimberly Cuspilich,Borough Clerk,boroughclerk@rockawayborough.org,973-627-2000,,,,,NO,,,,,SEND EMAIL to boroughclerk@rockawayborough.org,Not Started,,,,
Mendham Township,Municipality,Morris,Everett Falt,Municipal Clerk/QPA,,973-543-4555,,,,,NO,,,,,CALL 973-543-4555 — ask for Everett Falt,Not Started,,,,
Morris Plains,Municipality,Morris,RoseMarie Leyhan,Borough Clerk & Registrar,rleyhan@morrisplainsboro.org,908-668-0415,,,,,NO,,,,,SEND EMAIL to rleyhan@morrisplainsboro.org,Not Started,,,,Borough of Morris Plains. Small municipality. Purchasing info not published.
Mount Arlington,Municipality,Morris,Carolyn Rinaldi,Borough Administrator/QPA/CFO,,973-398-6832,,,,,NO,,,,,CALL 973-398-6832 — ask for Carolyn Rinaldi,Not Started,,,,Borough of Mount Arlington. Small municipality. Has DPW. Purchasing not published.
Mendham Borough,Municipality,Morris,,Borough Clerk,clerk@mendhamnj.org,973-543-7152,,,,,NO,,,,,SEND EMAIL to clerk@mendhamnj.org,Not Started,,,,Borough of Mendham. Small municipality. Purchasing not published.
Boonton Township,Municipality,Morris,,Township Clerk handles purchasing,,,,,,,NO,,,,,RESEARCH — no contact data,Not Started,,,,
Mountain Lakes,Municipality,Morris,Mitchell Stern,Borough Manager (QPA per code),mstern@mountainlakes.gov,973-334-3131,,,,,NO,,,,,SEND EMAIL to mstern@mountainlakes.gov,Not Started,,,,
Harding Township,Municipality,Morris,,Township Clerk handles purchasing,,973-267-8000 ext. 711,,,,,NO,,,,,RESEARCH — no contact data,Not Started,,,,
Mine Hill,Municipality,Morris,Marcie Istvan / Joseph Setticase,Clerk / CFO,Clerk@MineHill.com,973-366-9031,,,,,NO,,,,,SEND EMAIL to Clerk@MineHill.com,Not Started,,,,
Riverdale,Municipality,Morris,,Borough Clerk (QPA per borough code),clerk@RiverdaleNJ.gov,973-835-4060,,,,,NO,,,,,SEND EMAIL to clerk@RiverdaleNJ.gov,Not Started,,,,Borough of Riverdale. Small municipality. Purchasing not published.
Netcong,Municipality,Morris,,Borough Clerk (purchasing handled by clerk),,973-347-0252 x105,,,,,NO,,,,,RESEARCH — no contact data,Not Started,,,,Small borough. DPW Superintendent is Tim Hess. Purchasing handled by Borough Clerk.
Chester Borough,Municipality,Morris,Dena Dziergoski,Acting Borough Clerk & Registrar,Clerk@ChesterBorough.org,908-879-3660 ext. 2129,,,,,NO,,,,,SEND EMAIL to Clerk@ChesterBorough.org,Not Started,,,,
Victory Gardens,Municipality,Morris,Deborah Evans,Municipal Administrator/Clerk,gardensvg@victorygardensnj.gov,973-366-5312,,,Shared services via Morris Township,,NO,,,,,SEND EMAIL to gardensvg@victorygardensnj.gov,Not Started,,,,Smallest Morris County borough. Purchasing handled through Morris Township shared services.
