This worksheet includes one table, with columns A through AX. Blank cells within the table indicate that there is no data for that element.  The table includes data, organized by district, such as county and district codes and names.  The table also includes basic information about the district such as address, website, and contacts. Districts with county code 80 are charter districts and the county name listed is the host county. District 1431 is a state agency that is in Mercer County.
New Jersey School Directory
Public School Districts
County Code,County Name,District Code,District Name,Chrt Sch Code,Supt. Title,Supt. First Name,Supt. Last Name,Supt. Title 2,Supt. EMail,Address1,Address2,City,State,Zip,Mailing Address1,Mailing Address2,Mailing Address3,Mailing City,Mailing State,Mailing Zip,Mailing Zip+4,Phone,BA Title1,BA First Name,BA Last Name,BA Email,BA Title2,SEC Title1,SEC First Name,SEC Last Name,SEC Title2,HIB Title1,HIB First Name,HIB Last Name,HIB Title2,State Testing Coor. Title1,State Testing Coor. First Name,State Testing Coor. Last Name,State Testing Coor. Title2,PARCC IT Con. Title1,PARCC IT Con. First Name,PARCC IT Con. Last Name,PARCC IT Con. Title2,School Safety Specialist Title1,School Safety Specialist First Name,School Safety Specialist Last Name,School Safety Specialist Title2,Website,NCES ID
="01",ATLANTIC,="1300","Egg Harbor City School District",="","Mrs.","Adrienne","Shulby","Superintendent",ashulby@eggharborcityschools.com,730 Havana Avenue, ,Egg Harbor City,NJ,="08215",730 Havana Avenue,,,Egg Harbor City,NJ,="08215",="",609-965-1034 x165,"Mrs.","Allyson","Ziegler",amilazzo@eggharborcityschools.com,Business Administrator,Mr.,Steven,Lerch,"Director of Special Education","Mrs.","Jennifer","Connelly","Anti-Bullying Coordinator","Mr.","Steven","Lerch","Dist. Coordinator of State Testing","Mr.","Matt","Gross","LEA Assessment IT Contact","Mrs.","Adrienne","Shulby","School Safety Specialist",www.eggharborcityschools.com,="3404530"
="01",ATLANTIC,="1310","Egg Harbor Township School District",="","Dr.","Kimberly","Gruccio","Superintendent",gruccik@eht.k12.nj.us,13 Swift Drive, ,Egg Harbor Township,NJ,="08234",13 Swift Drive,,,Egg Harbor Township,NJ,="08234",="",6096467911 x1000,"Mr.","Daniel","Smith",smithd@eht.k12.nj.us,Business Administrator,Ms.,Pamela,Hennelly,"Director of Special Education","Mr.","George","West","Anti-Bullying Coordinator","Mrs.","Samantha","Elko","Dist. Coordinator of State Testing","","","","","Mr.","George","West","School Safety Specialist",www.eht.k12.nj.us,="3404560"
="01",ATLANTIC,="1410","Estell Manor School District",="","Mr.","David","Ricci","Chief School Administrator",dricci@estellmanorschool.com,128 Cape May Avenue, ,Estell Manor,NJ,="08319-1735",128 Cape May Avenue,,,Estell Manor,NJ,="08319",="1735",609-476-2267,"Ms.","Rose","Millar",rmillar@estellmanorschool.com,Business Administrator,Mrs.,Sarah,Foley,"Supervisor of Special Education Services","Mr.","David","Ricci","Anti-Bullying Coordinator","Mrs.","Tamara","Schoenborn","Dist. Coordinator of State Testing","Mr.","Scott","Thomas","LEA Assessment IT Contact","Ms.","Prisilla","Meyer","School Safety Specialist",www.estellmanorschool.com,="3404860"
="01",ATLANTIC,="1540","Folsom Borough School District",="","Mr.","Kevin","Fricke","Superintendent",kfricke@folsomschool.org,1357 Mays Landing Road, ,Folsom,NJ,="08037",1357 Mays Landing Road,,,Folsom,NJ,="08037",="",609-561-8666 x111,"Mrs.","Sara","Simpson",ssimpson@folsomschool.org,B. A. / Board Secretary,Mrs.,Michele,Hetzel,"Director of Special Education","Mrs.","Michele","Hetzel","Anti-Bullying Coordinator","Mrs.","Michele","Hetzel","Dist. Coordinator of State Testing","Mr.","Patrick","Ward","LEA Assessment IT Contact","Mrs.","Sara","Simpson","School Safety Specialist",http://www.folsomschool.org/,="3405280"
="01",ATLANTIC,="1690","Galloway Township Public School District",="","Mr.","Stephen","Santilli","Superintendent",santillis@gtps.k12.nj.us,101 S REEDS ROAD, ,GALLOWAY,NJ,="08205",101 S REEDS ROAD,,,GALLOWAY,NJ,="08205",="",609-748-1250 x 1016,"Mrs.","Joy","Nixon",nixonj@gtps.k12.nj.us,School Business Administrator,Mrs.,Susann,Tahsin,"Director of Special Education","Mrs.","Susann","Tahsin","Anti-Bullying Coordinator","Mrs.","Betty","Napoli","Dist. Coordinator of State Testing","Mrs.","Betty","Napoli","LEA Assessment IT Contact","Mr.","Stephen","Santilli","School Safety Specialist",WWW.GTPS.K12.NJ.US,="3405730"
="01",ATLANTIC,="1790","Greater Egg Harbor Regional High School District",="","Mr.","James","Reina","Superintendent",jreina@gehrhsd.net,1824 Dr. Dennis Foreman Dr., ,Mays Landing,NJ,="08330-2640",1824 Dr. Dennis Foreman Dr.,,,Mays Landing,NJ,="08330",="2640",609-625-1456,"Mr.","Thomas","Grossi",tgrossi@gehrhsd.net,School Business Administrator,Ms.,Renee,Siegler,"Special Ed. Coordinator","Mr.","Jaclyn","Williscroft","Anti-Bullying Coordinator","Ms.","Jaclyn","Williscroft","Dist. Coordinator of State Testing","Mr.","Aleng","Phommathep","LEA Assessment IT Contact","Mr.","James","Reina","School Safety Specialist",www.gehrhsd.net,="3406060"
="01",ATLANTIC,="1940","Hamilton Township School District",="","Dr.","Jeffery","Zito","Chief School Administrator",zitoj@hamiltonschools.org,1876 DR. DENNIS FOREMAN DR., ,MAYS LANDING,NJ,="08330",1876 DR. DENNIS FOREMAN DR.,,,MAYS LANDING,NJ,="08330",="",609-476-6300,"Mr.","Christopher","Veneziani",venezianic@hamiltonschools.org,B. A. / Board Secretary,Mrs.,Marylynn,Stecher,"Special Ed. Coordinator","Mr.","Scott","Sarraiocco","Anti-Bullying Coordinator","Mr.","Scott","Sarraiocco","Dist. Coordinator of State Testing","Mr.","Lew","Improta","LEA Assessment IT Contact","Mr.","Colin","Hickey","School Safety Specialist",www.hamiltonschools.org,="3406510"
="01",ATLANTIC,="1960","Hammonton School District",="","Mr.","Thomas","Ramsay","Superintendent",tramsay@hammontonps.org,566 Old Forks Road, ,Hammonton,NJ,="08037",566 Old Forks Road,,,Hammonton,NJ,="08037",="",609-567-7000 x1374,"Ms.","Teri","Weeks",tweeks@hammontonps.org,Interim Business Administrator,Ms.,Gabrielle,Attanasi,"Supervisor of Special Education Services","Ms.","Tammy","Leonard","Anti-Bullying Coordinator","Mr.","Michael","Ryan","Dist. Coordinator of State Testing","Mr.","Steve","Minchak","LEA Assessment IT Contact","Ms.","Lori","Scibilia","School Safety Specialist",www.hammontonps.org,="3406570"
="01",ATLANTIC,="2680","Linwood City School District",="","Mr.","Brian","Pruitt","Superintendent",brianpruitt@linwoodschools.org,51 Belhaven Avenue, ,Linwood,NJ,="08221",51 Belhaven Avenue,,,Linwood,NJ,="08221",="",609-926-6700,"Mrs.","Patricia","Swanson",patriciaswanson@linwoodschools.org,School Business Administrator,Dr.,Angela,Gwathney,"Director of Child Study Team","Dr.","Angela","Gwathney","Anti-Bullying Coordinator","Mr.","Richard","DiMauro","Dist. Coordinator of State Testing","Mr.","Joseph","Hemphill","LEA Assessment IT Contact","Mr.","Patrick","Childs","School Safety Specialist",www.linwoodschools.org,="3408670"
="01",ATLANTIC,="2780","Longport Board of Education",="","Mr.","None","Non Operating","Chief School Administrator",longportboe@gmail.com,2305 Atlantic Avenue, ,Longport,NJ,="08403",2305 Atlantic Avenue,,,Longport,NJ,="08403",="",609-823-2731,"Ms.","Teri","Weeks",longportboe@gmail.com,B. A. / Board Secretary,,Teri,Weeks,"Acting Spec. Ed. Coordinator","","Not Applicable","No Operating","Anti-Bullying Coordinator","","Not Applicable","Non Operating","Dist. Coordinator of State Testing","","Not Applicable","Non-Operaring","LEA Assessment IT Contact","","","","",none,=""
="01",ATLANTIC,="2910","Mainland Regional High School",="","Mr.","MARK","MARRONE","Chief School Administrator",MMARRONE@MAINLANDREGIONAL.NET,1301 OAK AVENUE, ,LINWOOD,NJ,="08221",1301 OAK AVENUE,,,LINWOOD,NJ,="08221",="",609-927-2461,"Ms.","Chandra","Anaya",canaya@mainlandregional.net,B. A. / Board Secretary,Mrs.,Vicki,Tirado,"Supervisor of Special Education Services","Ms.","Kim","Spagone","Anti-Bullying Coordinator","Mr.","NATHAN","LICHTENWALNER","Dist. Coordinator of State Testing","Mr.","DORSEY","FINN","LEA Assessment IT Contact","Mr.","Charles","Cole","School Safety Specialist",MAINLANDREGIONAL.NET,="3409360"
="01",ATLANTIC,="3020","Margate City School District",="","Mr.","Ryan","Gaskill","Superintendent",rgaskill@margateschools.org,8103 Winchester Avenue, ,Margate,NJ,="08402",8103 Winchester Avenue,,,Margate,NJ,="08402",="",609-822-1447 x 366,"Mrs.","Melina","Skwarek",mskwarek@margateschools.org,B. A. / Board Secretary,Mr.,Ryan,Gaskill,"Director of Child Study Team","Mrs.","Samatha","Dulude","Anti-Bullying Coordinator","Mr.","Ryan","Gaskill","Dist. Coordinator of State Testing","Mr.","Mike","Morris","LEA Assessment IT Contact","Mr.","Ryan","Gaskill","School Safety Specialist",www.margateschools.org,="3409690"
="01",ATLANTIC,="3480","Mullica Township School District",="","Dr.","Jennifer","Pauls","Superintendent",jpauls@mullicaschools.com,500 Elwood Road, ,Elwood,NJ,="08217",PO Box 318,,,Elwood,NJ,="08217",="",609-561-3868 x120,"Mr.","Todd","D'Anna",tdanna@mullicaschools.com,Business Administrator,Mrs.,Janine,Gentilini,"Supervisor of Special Education Services","Mrs.","Maris","Lynn","Anti-Bullying Coordinator","Dr.","Jennifer","Pauls","Dist. Coordinator of State Testing","Mr.","Mike","Irwin","LEA Assessment IT Contact","Mr.","Steven","Ware","School Safety Specialist",www.mullicaschools.com,="3411070"
="01",ATLANTIC,="3720","Northfield City School District",="","Mr.","Pedro","Bretones","Superintendent",pbretones@ncs-nj.org,2000 New Road, ,Northfield,NJ,="08225",2000 New Road,,,Northfield,NJ,="08225",="",609-407-4004,"Mrs.","Jamie","Shoemaker",jshoemaker@ncs-nj.org,B. A. / Board Secretary,,TBD,TBD,"Special Ed. Coordinator","Mrs.","Maureen","Vaccaro","Anti-Bullying Coordinator","Mrs.","Janice","Dye","Dist. Coordinator of State Testing","Mr.","John","Wilson","LEA Assessment IT Contact","Mr.","Pedro","Bretones","School Safety Specialist",www.ncs-nj.org,="3411790"
="01",ATLANTIC,="4180","Pleasantville Public School District",="","Dr.","Felicia","Hyman","Acting Superintendent",hyman.felicia@pps-nj.us,801 Mill Road, ,Pleasantville,NJ,="08232",801 Mill Road,,,Pleasantville,NJ,="08232",="",609-383-6800 X 2507,"Ms.","Daile","White",white.daile@pps-nj.us,Business Administrator,Ms.,KARIN,FARKAS,"Director of Child Study Team","Ms.","Karin","Farkas","Anti-Bullying Coordinator","Dr.","Lapell","Chapman","Dist. Coordinator of State Testing","Ms.","Daile","White","LEA Assessment IT Contact","Mr.","Dan","Adcock","School Safety Specialist",http://www.pps-nj.us/pps/,="3413200"
="01",ATLANTIC,="4240","Port Republic School District",="","Mrs.","Amanda","Redrow","Superintendent",aredrow@portnj.org,137 Pomona Avenue, ,Port Republic,NJ,="08241",137 Pomona Avenue,,,Port Republic,NJ,="08241",="",609-652-7377,"Mr.","Todd","D'Anna",tdanna@portnj.org,Business Administrator,Mrs.,Amanda,Redrow,"Special Ed. Coordinator","Mrs.","Erica","Polito","Anti-Bullying Coordinator","Mrs.","Amanda","Redorw","Dist. Coordinator of State Testing","","","","","Mrs.","Erica","Polito","School Safety Specialist",www.portnj.org,="3413380"
="80",ATLANTIC,="6104","Principle Academy Charter School",="995","Dr.","Peter","Caporilli","Lead of Charter School (District Level)",petercaporilli@principleacademycharter.org,6718 Black Horse Pike,Suite 16 ,Egg Harbor Township,NJ,="08234",6718 Black Horse Pike,Suite 16,,Egg Harbor Township,NJ,="08234",="",609-498-6350,"Mr.","Michael","Falkowski",info@sboffice.com,School Business Administrator,Dr.,Ethel,Lippman,"Special Ed. Coordinator","Mr.","Robert","Shappell","Anti-Bullying Coordinator","Ms.","Shanta","Green","Dist. Coordinator of State Testing","Mr.","James","Dionne","LEA Assessment IT Contact","Mr.","Antwone","Snead","School Safety Specialist",www.principleacademycharter.org,=""
="01",ATLANTIC,="4800","Somers Point School District",="","Mr.","Theodore","Pugliese","Superintendent",tpugliese@sptsd.org,121 W. New York Avenue, ,Somers Point,NJ,="08244-1408",121 W. New York Avenue,,,Somers Point,NJ,="08244",="1408",609-927-2053 x3211,"Mr.","Mark","Leung",mleung1@sptsd.org,Interim Business Administrator,Mrs.,Kate,Bobst,"Supervisor of Special Education Services","Mr.","Kenneth","Berardis","Anti-Bullying Coordinator","Mrs.","Amy","Horan-Smith","Dist. Coordinator of State Testing","Mr.","Frank","Bilotta","LEA Assessment IT Contact","Mr.","Kenneth","Berardis","School Safety Specialist",www.sptsd.org,="3415030"
="01",ATLANTIC,="5350","Ventnor City School District",="","Dr.","Carmela","Somershoe","Superintendent",csomershoe@veccnj.org,400 N. Lafayette Avenue, ,Ventnor City,NJ,="08406",400 N. Lafayette Avenue,,,Ventnor City,NJ,="08406",="",609-487-7900 x5100,"Mrs.","Beth","Steinen",bsteinen@veccnj.org,B. A. / Board Secretary,Ms.,Alison,Richman,"Supervisor of Special Education Services","Mrs.","Jenna","DiMauro","Anti-Bullying Coordinator","Mrs.","Chelsea","Hoffman","Dist. Coordinator of State Testing","Mr.","John","Spencer","LEA Assessment IT Contact","Mr.","Alex","Pitre","School Safety Specialist",www.veccnj.org,="3416680"
="01",ATLANTIC,="5760","Weymouth Township School District",="","Mrs.","Brenda","Callaghan","Chief School Administrator",bcallaghan@weymouthtsd.org,1202 Eleventh Avenue, ,Dorothy,NJ,="08317",1202 Eleventh Avenue,,,Dorothy,NJ,="08317",="",609-476-2412,"Mr.","Robert","Green",rgreen@weymouthtsd.org,School Business Administrator,Mrs.,Michelle,Mesghali,"Supervisor of Special Education Services","Mrs.","Michelle","Mesghali","Anti-Bullying Coordinator","Mrs.","Michelle","Mesghali","Dist. Coordinator of State Testing","Mr.","Dan","Henderson","LEA Assessment IT Contact","Mrs.","Brenda","Callaghan","School Safety Specialist",www.weymouthtownshipschool.org,="3417850"
="03",BERGEN,="0040","Allendale Public School District",="","Dr.","Michael","Barcadepone","Superintendent",mbarcadepone@allendalek8.com,100 Brookside Avenue, ,Allendale,NJ,="07401",100 Brookside Avenue,,,Allendale,NJ,="07401",="",201-327-2020 x1306,"Ms.","Maria","Engeleit",mengeleit@allendalek8.com,B. A. / Board Secretary,Mrs.,Jennifer,Zeoli,"Special Ed. Coordinator","Mrs.","Jennifer","Zeoli","Anti-Bullying Coordinator","Mrs.","Tanya","Lopez-Gonzalez","Dist. Coordinator of State Testing","Mr.","Paul","Gomez","LEA Assessment IT Contact","Ms.","Maria","Engeleit","School Safety Specialist",www.allendalek8.com,="3400750"
="03",BERGEN,="0080","Alpine School District",="","Ms.","Maureen","McCann","Superintendent",McCann@alpineschool.org,500 Hillside Ave., ,Alpine,NJ,="07620-1038",500 Hillside Ave.,,,Alpine,NJ,="07620",="1038",201-768-8255  x1111,"Mrs.","Olga","Sico",Sico@alpineschool.org,B. A. / Board Secretary,Mrs.,Krista,Grinkin,"Supervisor of Special Services","Mrs.","Krista","Grinkin","Anti-Bullying Coordinator","Ms.","Anne","Serekian","Dist. Coordinator of State Testing","Mr.","Eric","Peralta","LEA Assessment IT Contact","Mrs.","Krista","Grinkin","School Safety Specialist",www.alpineschool.org,="3400870"
="80",BERGEN,="6013","Bergen Arts and Science Charter School",="900","Dr.","Nihat","Guvercin","Lead of Charter School (District Level)",nguvercin@ilearnschools.org,200 MacArthur Ave, ,Garfield,NJ,="07026",33-00 Broadway,Suite 301,,Fair Lawn,NJ,="07410",="",201-773-9140,"Mr.","Mustafa","Coban",mcoban@ilearnschools.org,B. A. / Board Secretary,Ms.,Marjorie,Renahan,"Supervisor of Special Education Services","Mrs.","Donna","Giovia","Anti-Bullying Coordinator","Ms.","Dawn","Fantasia","Dist. Coordinator of State Testing","","","","","","","","",https://ilearnschools.org/bergen-arts-science-charter-school/,="3400715"
="03",BERGEN,="0285","Bergen County Special Services School District",="","Dr.","Howard","Lerner","Superintendent",howler@bergen.org,540 Farview Avenue, ,Paramus,NJ,="07652",540 Farview Avenue,,,Paramus,NJ,="07652",="",201-343-6000 x4069,"Mr.","John","Susino",johsus@bergen.org,B. A. / Board Secretary,Mr.,Mitchell,Badiner,"Director of Special Education","Mrs.","Bridget","Sorem","Anti-Bullying Coordinator","Mrs.","Bonnie","Obojkovits","Dist. Coordinator of State Testing","Mr.","Edmund","Hayward","LEA Assessment IT Contact","Mrs.","Bridget","Sorem","School Safety Specialist",bcss.bergen.org,="3401450"
="03",BERGEN,="0290","Bergen County Vocational Technical School District",="","Dr.","Howard","Lerner","Superintendent",howler@bergen.org,540 Farview Avenue, ,Paramus,NJ,="07652",540 Farview Avenue,,,Paramus,NJ,="07652",="",201-343-6000 x4005,"Mr.","John","Susino",johsus@bergen.org,B. A. / Board Secretary,Ms.,Jamie,Guinta,"Director of Special Education","Mrs.","Bridget","Sorem","Anti-Bullying Coordinator","Mrs.","Bonnie","Obojkovits","Dist. Coordinator of State Testing","Mr.","Edmund","Hayward","LEA Assessment IT Contact","Mrs.","Bridget","Sorem","School Safety Specialist",bcts.bergen.org,="3401470"
="03",BERGEN,="0300","Bergenfield Borough School District",="","Dr.","Christopher","Tully","Superintendent",ctully@bergenfield.org,225 W. Clinton Avenue, ,Bergenfield,NJ,="07621",225 W. Clinton Avenue,,,Bergenfield,NJ,="07621",="",201-385-8202,"Ms.","JoAnn","Khoury-Frias",jfrias@bergenfield.org,Business Administrator,Dr.,Lorry,Booth,"Director of Special Education","Ms.","Stephanie","Machin","Anti-Bullying Coordinator","Ms.","Maura","Boeri","Dist. Coordinator of State Testing","Mr.","John","Blackowski","LEA Assessment IT Contact","Dr.","Christopher","Tully","School Safety Specialist",www.bergenfield.org,="3401500"
="03",BERGEN,="0440","Bogota Public School District",="","Mr.","Damian","Kennedy","Chief School Administrator",dkennedy@bogotaboe.com,1 Henry C. Luthin Place, ,Bogota,NJ,="07603",1 Henry C. Luthin Place,,,Bogota,NJ,="07603",="",201-441-4800 x 1001,"Mr.","Irfan","Evcil",ievcil@bogotaboe.com,B. A. / Board Secretary,Ms.,Janine,Martin,"Supervisor of Special Education Services","Ms.","Rachael","Carletto","Anti-Bullying Coordinator","Ms.","Rachael","Carletto","Dist. Coordinator of State Testing","Mr.","Frank","Calero","LEA Assessment IT Contact","Mr.","Samuel","Chiang","School Safety Specialist",www.bogotaboe.com,="3401920"
="03",BERGEN,="0740","Carlstadt Public School District",="","Ms.","Allison","Evans","Superintendent",aevans@carlstadtps.org,550 WASHINGTON STREET, ,CARLSTADT,NJ,="07072",550 WASHINGTON STREET,,,CARLSTADT,NJ,="07072",="",201-672-3000 x3104,"Mrs.","Tracy","Luciani",tluciani@carlstadtps.org,School Business Administrator,Ms.,Diana,Gutierrez,"Director of Special Education","Mrs.","Rianna","Scrubb","Anti-Bullying Coordinator","Mrs.","Jessica","Lapa","Dist. Coordinator of State Testing","Mr.","Matthew","Cupo","LEA Assessment IT Contact","Mrs.","Kelly","Schroback","School Safety Specialist",www.carlstadt.org,="3402790"
="03",BERGEN,="0745","Carlstadt-East Rutherford Regional High School District",="","Dr.","Dario","Sforza","Superintendent",dsforza@bectonhs.org,120 Paterson Avenue, ,East Rutherford,NJ,="07073",120 Paterson Avenue,,,East Rutherford,NJ,="07073",="",201-777-6184,"Ms.","Jessenia","Kan",jkan@bectonhs.org,B. A. / Board Secretary,Mr.,Carlo,Maucione,"Supervisor of Special Education Services","Mr.","Carlo","Maucione","Anti-Bullying Coordinator","Mr.","Marc","Caprio","Dist. Coordinator of State Testing","Mr.","Richard","Gbaguidi","LEA Assessment IT Contact","Dr.","Dario","Sforza","School Safety Specialist",www.bectonhs.org,="3402800"
="03",BERGEN,="0890","Cliffside Park School District",="","Mr.","Mark","Rindfuss","Superintendent",mrindfuss@cliffsidepark.edu,525 Palisade Avenue, ,Cliffside Park,NJ,="07010",525 Palisade Avenue,,,Cliffside Park,NJ,="07010",="",201-313-2310,"Mr.","Louis","Alfano",lalfano@cliffsidepark.edu,B. A. / Board Secretary,Ms.,Sharlene,Pinto,"Director of Special Education","Mrs.","Renee","Arp","Anti-Bullying Coordinator","Mr.","Angelo","Alban","Dist. Coordinator of State Testing","Mr.","Frank","Savastano","LEA Assessment IT Contact","Mrs.","Dana","Martinotti","School Safety Specialist",www.cliffsidepark.edu,="3403270"
